Business Category,Business Type,City,State,US
Agriculture,Crop Production,Birmingham,Alabama,Yes
Arts & Entertainment,Performing Arts Theater,Montgomery,Alabama,Yes
Construction,Residential Building,Huntsville,Alabama,Yes
Education,Private School,Mobile,Alabama,Yes
Finance,Credit Union,Tuscaloosa,Alabama,Yes
Healthcare,Urgent Care Clinic,Hoover,Alabama,Yes
Hospitality,Boutique Hotel,Dothan,Alabama,Yes
Information Technology,Software Development,Auburn,Alabama,Yes
Manufacturing,Auto Parts Factory,Decatur,Alabama,Yes
Retail,Clothing Store,Florence,Alabama,Yes
Transportation,Freight Trucking,Gadsden,Alabama,Yes
Automotive,Car Dealership,Selma,Alabama,Yes
Beauty & Wellness,Day Spa,Prattville,Alabama,Yes
Cleaning Services,Commercial Janitorial,Enterprise,Alabama,Yes
Consulting,Business Strategy Firm,Alabaster,Alabama,Yes
Energy,Solar Panel Installation,Madison,Alabama,Yes
Environmental Services,Waste Management,Opelika,Alabama,Yes
Events & Entertainment,Wedding Planning,Phenix City,Alabama,Yes
Food & Beverage,Organic Grocery Store,Bessemer,Alabama,Yes
Legal Services,Family Law Firm,Daphne,Alabama,Yes
Marketing & Advertising,Digital Marketing Agency,Northport,Alabama,Yes
Real Estate,Property Management,Vestavia,Alabama,Yes
Media & Communications,Local News Publisher,Anniston,Alabama,Yes
Medical Services,Physical Therapy Clinic,Pelham,Alabama,Yes
Non-Profit,Community Outreach Program,Albertville,Alabama,Yes
Pet Services,Veterinary Clinic,Mountain Brook,Alabama,Yes
Photography,Portrait Studio,Fairhope,Alabama,Yes
Security Services,Private Security Firm,Ozark,Alabama,Yes
Sports & Recreation,Indoor Sports Facility,Cullman,Alabama,Yes
Staffing & Employment,Temporary Staffing Agency,Sylacauga,Alabama,Yes
Telecommunications,Internet Service Provider,Foley,Alabama,Yes
Travel & Tourism,Local Tour Operator,Jasper,Alabama,Yes
Utilities,Water Treatment Facility,Athens,Alabama,Yes
Aerospace & Defense,Avionics Engineering Firm,Redstone Arsenal,Alabama,Yes
Antique & Collectibles,Vintage Furniture Dealer,Tuscumbia,Alabama,Yes
Architecture & Design,Landscape Architecture Studio,Gardendale,Alabama,Yes
Auctions,Estate Auction House,Arab,Alabama,Yes
Aviation,Regional Charter Airline,Muscle Shoals,Alabama,Yes
Craftsmanship,Custom Woodworking Shop,Bay Minette,Alabama,Yes
E-Commerce,Online Apparel Retailer,Hartselle,Alabama,Yes
Farming,Poultry Farm,Oneonta,Alabama,Yes
Film & Production,Independent Film Studio,Roanoke,Alabama,Yes
Forestry,Timber Harvesting Company,Geneva,Alabama,Yes
Home Improvement,Custom Cabinet Installation,Fort Payne,Alabama,Yes
Home Services,Pest Control Company,Clanton,Alabama,Yes
Industrial Services,Equipment Maintenance Provider,Lanett,Alabama,Yes
Interior Design,Residential Interior Design Firm,Thomasville,Alabama,Yes
Jewelry,Custom Jewelry Maker,Eufaula,Alabama,Yes
Landscaping,Commercial Landscaping Services,Leeds,Alabama,Yes
Logistics,Warehousing & Distribution Center,Moody,Alabama,Yes
Marine Services,Boat Repair & Maintenance,Bayou La Batre,Alabama,Yes
Music & Entertainment,Recording Studio,Andalusia,Alabama,Yes
Outdoor Services,Tree Removal Service,Wetumpka,Alabama,Yes
Printing & Publishing,Small Batch Book Publisher,Monroeville,Alabama,Yes
Recycling & Waste,Scrap Metal Recycling,Sheffield,Alabama,Yes
